,,,,,,,,,,,,,
,TS07,Pipeline de Exportación ONNX e Inferencia en Backend,"Como desarrollador, quiero implementar un script automatizado que exporte el modelo predictivo entrenado en PyTorch al formato ONNX e integrar ONNX Runtime en el backend ASP.NET Core para ejecutar inferencia con baja latencia, registrando automáticamente la versión del modelo activo en cada recomendación generada, para que el motor opere sin depender de servicios externos y mantenga trazabilidad completa del modelo utilizado.","CA01 — Exportación exitosa con consistencia de predicciones entre PyTorch y ONNX
Dado que el modelo PyTorch está entrenado y el script de exportación se ejecuta,
Cuando el modelo se exporta al formato ONNX y se carga en ONNX Runtime dentro del backend,
Entonces las predicciones del modelo ONNX para un conjunto de entradas de referencia son numéricamente equivalentes a las del modelo PyTorch original con una tolerancia de diferencia menor a 0.001.

CA02 — Versionado automático del modelo en cada despliegue
Dado que se despliega una nueva versión del modelo ONNX en el servicio de inferencia,
Cuando el servicio carga el nuevo modelo,
Entonces registra automáticamente en la tabla model_versions el hash del archivo, la fecha y hora de despliegue y el identificador del responsable del cambio, y todas las recomendaciones generadas a partir de ese momento quedan vinculadas a ese version_id para trazabilidad completa.",Must Have,5,3,No se ha iniciado,EP03,,,,
,TS08,Módulo LLM con Guardrails para Explicaciones Clínicas,"Como desarrollador, quiero implementar un orquestador de prompts que combine el output del modelo predictivo ONNX con plantillas clínicas estructuradas para llamar al servicio LLM local, y que debe aplicar guardrails que prevengan la generación de afirmaciones médicas fuera del alcance definido, para producir explicaciones comprensibles y clínicamente seguras para cada recomendación.","CA01 — Generación de explicación dentro de los límites clínicos definidos.
Dado que el modelo predictivo genera una recomendación con su score de confianza,
Cuando el orquestador construye el prompt con la plantilla clínica correspondiente y llama al servicio LLM local,
Entonces la explicación generada se refiere únicamente a los patrones identificados en el historial del paciente, no realiza afirmaciones diagnósticas ni prescriptivas fuera del alcance definido en las plantillas, y tiene una extensión máxima de 200 palabras.

CA02 — Fallback funcional ante error o timeout del servicio LLM local.
Dado que el orquestador llama al servicio LLM local y este retorna un error o supera el timeout configurado,
Cuando el sistema detecta el fallo tras el número de reintentos definido,
Entonces el sistema entrega al paciente una explicación plantilla pre redactada que indica la recomendación sin texto generado dinámicamente, y registra el evento de fallback en el audit log con el motivo del fallo.",Must Have,5,3,No se ha iniciado,EP03,,,,
,TS09,Máquina de Estados para el Ciclo de Vida de Recomendaciones,"Como desarrollador, quiero implementar una máquina de estados en el backend que gestione el ciclo de vida completo de cada recomendación con los estados Generated, Pending_Review, Approved, Rejected, Delivered, Feedback_Received y Expired, para que el flujo entre el motor de IA, el nutricionista y el paciente sea controlado, auditable y sin posibilidad de estados inconsistentes.","CA01 — Transiciones de estado válidas ejecutadas y registradas correctamente
Dado que una recomendación existe en cualquier estado del ciclo de vida,
Cuando se ejecuta una transición válida según la matriz de estados definida,
Entonces el sistema actualiza el estado en la base de datos, registra la transición en el audit log con el actor responsable, el timestamp y el estado anterior, y desencadena el evento correspondiente a esa transición.

CA02 — Rechazo de transiciones de estado inválidas
Dado que existe una recomendación en estado Approved o Rejected,
Cuando el sistema o cualquier actor intenta moverla de regreso a Pending_Review o Generated,
Entonces el sistema rechaza la transición con un error descriptivo, no modifica el estado actual de la recomendación, y registra el intento fallido en los logs de auditoría para revisión.",Must Have,5,3,No se ha iniciado,EP03,,,,
,TS10,Servicio de Notificaciones Push y Correo Electrónico,"Como desarrollador, quiero integrar FCM para notificaciones push y un servicio SMTP para correos electrónicos con colas de entrega gestionadas mediante KeyDB Streams y política de reintentos con backoff exponencial, para garantizar que los eventos críticos como nuevas recomendaciones, recordatorios de cuestionario y alertas del nutricionista lleguen al usuario de forma confiable incluso ante fallos temporales de entrega.","CA01 — Entrega exitosa de notificación push y registro del resultado
Dado que el sistema genera un evento que requiere notificación al paciente,
Cuando el worker de notificaciones procesa el evento,
Entonces envía la notificación push vía FCM, registra el resultado de entrega (exitoso o fallido) en la tabla de notificaciones, y si FCM retorna un token inválido marca automáticamente el token del dispositivo como expirado para evitar reintentos innecesarios.

CA02 — Reintento con backoff exponencial ante fallo temporal y envío a Dead Letter Queue
Dado que el primer intento de entrega de una notificación falla por un error temporal,
Cuando el worker detecta el fallo,
Entonces encola el reintento con backoff exponencial (primer reintento a 1 minuto, segundo a 5 minutos, tercero a 30 minutos), registra cada intento en el log con su resultado, y tras tres reintentos fallidos consecutivos mueve el mensaje a la Dead Letter Queue para revisión manual del equipo de desarrollo.",Should Have,5,2,No se ha iniciado,EP03,,,,
,TS11,Generación Server-Side de Reportes PDF,"Como desarrollador, quiero implementar un endpoint en el backend que consolide el historial clínico del paciente, renderice los gráficos de evolución IBS-SSS y genere un documento PDF protegido con contraseña generada automáticamente, para facilitar la exportación segura de información clínica tanto para nutricionistas como para los propios pacientes, garantizando la protección del documento conforme a la Ley 29733.","CA01 — PDF generado correctamente con contenido del período y protección activa
Dado que el endpoint recibe una solicitud válida de generación de reporte con el rango de fechas y el identificador del paciente,
Cuando el sistema procesa la solicitud y existen datos en el período indicado,
Entonces genera el PDF con el contenido clínico correcto del período solicitado, aplica protección de apertura con una contraseña generada automáticamente, retorna el archivo y la contraseña de forma separada en la respuesta, y registra la generación en el audit log con el solicitante y el timestamp.

CA02 — Rechazo con mensaje descriptivo cuando no hay datos en el período solicitado
Dado que el endpoint recibe una solicitud de reporte para un período sin registros del paciente,
Cuando el sistema verifica la disponibilidad de datos antes de iniciar la generación,
Entonces retorna un error 422 con un mensaje descriptivo que indica que no existen datos para el período solicitado, sugiere ampliar el rango de fechas, y no genera ningún archivo PDF vacío ni parcial.",Should Have,5,4,No se ha iniciado,EP04,,,,
,TS12,Carga Inicial y Mantenimiento del Catálogo de Alimentos Peruanos,"Como desarrollador, quiero preparar e importar el catálogo inicial de alimentos peruanos con su información nutricional por porción y sus etiquetas FODMAP mediante un script de carga de datos semilla, para que los pacientes puedan registrar sus comidas desde el primer día del piloto con datos clínicamente validados y culturalmente pertinentes.","CA01 — Catálogo cargado correctamente en el entorno del piloto
Dado que el script de carga de datos semilla se ejecuta sobre la base de datos del entorno del piloto,
Cuando el proceso finaliza sin errores,
Entonces todos los alimentos del catálogo quedan registrados con estado activo, con sus macronutrientes por porción estándar y sus etiquetas FODMAP correctamente asignadas, y están disponibles inmediatamente para búsqueda en la aplicación móvil.

CA02 — Reproducibilidad del script en distintos entornos
Dado que el script de carga se ejecuta en un entorno limpio de desarrollo o pruebas,
Cuando se ejecuta por segunda vez sobre el mismo entorno,
Entonces el script detecta los registros ya existentes, no crea duplicados, y el estado final del catálogo es idéntico al resultado de la primera ejecución.",Must Have,5,1,Completado,EP02,,,,
,US01,Registro de Paciente,"Como paciente, quiero registrarme en la aplicación móvil con mi nombre completo, correo electrónico y una contraseña segura, para crear mi cuenta personal, aceptar el consentimiento informado y acceder a las funcionalidades clínicas del sistema.","CA01 — Registro exitoso con datos válidos
Dado que un usuario no registrado accede al formulario de registro en la aplicación móvil,
Cuando ingresa un nombre completo, un correo electrónico con formato válido y una contraseña de al menos 8 caracteres con una mayúscula y un número, y acepta el consentimiento informado,
Entonces el sistema crea la cuenta, almacena la aceptación del consentimiento con timestamp y versión del documento, envía un correo de verificación al usuario y redirige al flujo de perfil clínico inicial.

CA02 — Rechazo por datos inválidos o correo duplicado
Dado que un usuario accede al formulario de registro,
Cuando ingresa un correo con formato inválido, una contraseña que no cumple los requisitos, deja campos obligatorios vacíos, o utiliza un correo ya registrado en el sistema,
Entonces el sistema no crea la cuenta, muestra un mensaje de error específico por cada campo incorrecto indicando el motivo del rechazo, y conserva los datos válidos ya ingresados en el formulario.

CA03 — Bloqueo sin aceptación del consentimiento informado
Dado que un usuario completa todos los campos del registro correctamente,
Cuando intenta completar el registro sin haber aceptado el consentimiento informado,
Entonces el sistema no permite avanzar, muestra una indicación clara de que el consentimiento es obligatorio y no crea ningún registro parcial de la cuenta.

CA04 — Persistencia inmutable del consentimiento aceptado
Dado que un usuario completa el registro y acepta el consentimiento informado, cuando el sistema confirma la creación de la cuenta, entonces persiste el consentimiento en la tabla consent_records con la versión del documento, timestamp, hash SHA-256 del texto íntegro aceptado e IP de origen, los triggers de base de datos impiden cualquier modificación o eliminación posterior del registro, y el usuario puede descargar en formato PDF la versión exacta del documento que aceptó desde la sección de privacidad.",Must Have,3,1,Completado,EP01,,,,
,US02,Activación de Cuenta del Nutricionista,"Como dietista-nutricionista, quiero recibir un correo de activación con mis credenciales de acceso iniciales, para poder ingresar al portal clínico desde el primer día sin necesidad de registrarme manualmente.","CA01 — Primer acceso exitoso con credenciales temporales
Dado que el desarrollador creó la cuenta del nutricionista en el sistema,
Cuando el nutricionista accede al portal con las credenciales temporales recibidas por correo,
Entonces el sistema valida las credenciales, solicita el cambio obligatorio de contraseña en ese mismo ingreso y redirige al panel de trabajo una vez completado el cambio.

CA02 — Rechazo por credenciales incorrectas o cuenta inactiva
Dado que alguien intenta acceder al portal del dietista-nutricionista,
Cuando las credenciales son incorrectas o la cuenta no está en estado activo,
Entonces el sistema deniega el acceso, muestra un mensaje diferenciado según la causa sin revelar si el correo existe en el sistema, y registra el intento en el audit log.",Must Have,2,1,Completado,EP01,,,,
,US03,Perfil Clínico Inicial del Paciente,"Como paciente, quiero completar mi perfil clínico inicial indicando mi edad, sexo biológico, peso, talla, subtipo de SII diagnosticado, alergias alimentarias e intolerancias conocidas, para que el motor de recomendaciones pueda personalizar sus sugerencias desde el primer ciclo de análisis.","CA01 — Perfil clínico guardado correctamente
Dado que un paciente recién registrado accede al formulario de perfil clínico inicial,
Cuando ingresa todos los campos obligatorios (edad, sexo biológico, peso, talla y subtipo de SII) con valores dentro de rangos clínicamente válidos y confirma el guardado,
Entonces el sistema almacena el perfil asociado al usuario, actualiza el progreso del onboarding al porcentaje correspondiente y habilita el acceso al diario de comidas y síntomas.

CA02 — Bloqueo por campos incompletos o valores fuera de rango
Dado que un paciente está completando el formulario de perfil clínico,
Cuando intenta guardar sin haber completado al menos un campo obligatorio, o ingresa un valor imposible como peso negativo o edad mayor a 120 años,
Entonces el sistema identifica y señala cada campo problemático, no guarda el perfil de forma parcial y conserva los datos válidos ya ingresados sin resetear el formulario.

CA03 — Edición posterior del perfil
Dado que un paciente ya tiene su perfil clínico guardado,
Cuando accede a la configuración de perfil, modifica uno o más campos con valores válidos y confirma,
Entonces el sistema actualiza el perfil, registra la fecha de la modificación y si el subtipo de SII fue modificado notifica internamente al nutricionista asignado.

CA04 — Cálculo en vivo del Índice de Masa Corporal
Dado que un paciente está completando el paso de datos demográficos del onboarding, cuando ingresa peso y talla con valores dentro del rango válido, entonces el sistema calcula automáticamente el BMI en tiempo real, muestra el valor numérico y la clasificación clínica correspondiente (bajo peso, normal, sobrepeso u obesidad), y actualiza ambos cada vez que el paciente modifica alguno de los dos valores.

CA05 — Aplazamiento del onboarding sin bloqueo de acceso
Dado que un paciente recién registrado accede al wizard de onboarding clínico, cuando selecciona la opción ""Después"" desde cualquier paso, entonces el sistema persiste el progreso parcial alcanzado, marca el onboarding como incompleto, permite el acceso al resto de la aplicación con funcionalidades clínicas restringidas, y mantiene un recordatorio visible en el dashboard hasta que el paciente complete la configuración.",Must Have,3,1,Completado,EP01,,,,
,US04,Evaluación de Línea Base IBS-SSS,"Como paciente, quiero completar el cuestionario estandarizado IBS-SSS inmediatamente después de configurar mi perfil clínico, para registrar la severidad inicial de mis síntomas antes de iniciar cualquier cambio en mi dieta y establecer el punto de comparación del piloto clínico.","CA01 — Línea base registrada exitosamente
Dado que un paciente acaba de completar su perfil clínico por primera vez,
Cuando responde todas las preguntas del cuestionario IBS-SSS con los valores requeridos y confirma el envío,
Entonces el sistema calcula el puntaje total, lo almacena con timestamp como registro de tipo baseline asociado al perfil del paciente, notifica al nutricionista asignado del nuevo ingreso y activa el ciclo de evaluaciones periódicas programando la fecha de la próxima evaluación.

CA02 — Bloqueo por cuestionario incompleto
Dado que un paciente está respondiendo el cuestionario IBS-SSS inicial,
Cuando intenta enviarlo habiendo dejado una o más preguntas sin responder,
Entonces el sistema identifica las preguntas pendientes, las señala visualmente, no guarda ningún puntaje parcial y mantiene al paciente en el cuestionario hasta que lo complete.",Must Have,3,1,Completado,EP01,,,,
,US05,Inicio de Sesión del Paciente,"Como paciente, quiero iniciar sesión en la aplicación móvil con mi correo y contraseña, para acceder de forma segura y continua a mi diario clínico, mis recomendaciones y mi historial de síntomas.","CA01 — Autenticación exitosa
Dado que un paciente registrado y con correo verificado accede a la pantalla de inicio de sesión,
Cuando ingresa su correo y contraseña correctos,
Entonces el sistema valida las credenciales contra Keycloak, inicia una sesión segura con tiempo de expiración definido y redirige al paciente a su pantalla principal personalizada.

CA02 — Bloqueo por intentos fallidos consecutivos
Dado que un paciente intenta iniciar sesión,
Cuando ingresa credenciales incorrectas cinco veces consecutivas,
Entonces el sistema bloquea temporalmente el acceso, muestra un mensaje que indica el bloqueo y el tiempo de espera, y registra el evento en el audit log como alerta de seguridad.",Must Have,2,1,Completado,EP01,,,,
,US06,Inicio de Sesión del Nutricionista,"Como dietista-nutricionista, quiero iniciar sesión en el portal web con mis credenciales profesionales, para acceder a mi panel de trabajo y gestionar la información clínica de mis pacientes asignados.","CA01 — Acceso exitoso al portal clínico
Dado que un nutricionista con cuenta activa accede a la pantalla de login del portal web,
Cuando ingresa su correo y contraseña correctos,
Entonces el sistema autentica al usuario con el rol de nutricionista, inicia una sesión con los permisos correspondientes a ese rol y redirige al panel de triaje de pacientes.

CA02 — Rechazo por cuenta inactiva o credenciales incorrectas
Dado que alguien intenta acceder al portal del nutricionista,
Cuando las credenciales son incorrectas o la cuenta está en estado inactivo o pendiente de activación,
Entonces el sistema deniega el acceso, muestra un mensaje diferenciado según la causa sin revelar si el correo existe en el sistema, y registra el intento en el audit log.",Must Have,2,1,Completado,EP01,,,,
,US07,Recuperación de Contraseña,"Como paciente o dietista-nutricionista, quiero solicitar la recuperación de mi contraseña mediante mi correo electrónico registrado, para restablecer mi acceso de forma autónoma y segura sin necesidad de intervención externa.","CA01 — Enlace de recuperación enviado exitosamente
Dado que un usuario accede al flujo de recuperación de contraseña,
Cuando ingresa un correo electrónico correspondiente a una cuenta registrada y activa,
Entonces el sistema genera un token único de recuperación con expiración de 30 minutos, envía el enlace de restablecimiento al correo del usuario, muestra un mensaje genérico de confirmación que no revela si el correo existe en el sistema, y registra la solicitud en el audit log.

CA02 — Enlace expirado o ya utilizado
Dado que un usuario recibe un enlace de recuperación de contraseña,
Cuando intenta utilizarlo después de transcurridos los 30 minutos de vigencia, o intenta reutilizar un enlace ya empleado anteriormente,
Entonces el sistema invalida el token, informa que el enlace ya no es válido o fue utilizado, y ofrece la opción de solicitar uno nuevo.",Should Have,2,1,Completado,EP01,,,,
,US08,Cierre de Sesión Seguro,"Como paciente o dietista-nutricionista, quiero poder cerrar sesión de forma explícita desde cualquier pantalla de la aplicación, para garantizar que mi información clínica no quede accesible en dispositivos compartidos o desatendidos.","CA01 — Cierre de sesión exitoso
Dado que un usuario autenticado selecciona la opción de cerrar sesión y confirma la acción,
Cuando el sistema procesa la solicitud,
Entonces invalida el token JWT activo en Keycloak, elimina los datos de sesión del almacenamiento local del dispositivo, redirige al usuario a la pantalla de inicio de sesión y bloquea la navegación hacia atrás para impedir el acceso a pantallas autenticadas.

CA02 — Cierre automático de sesión por inactividad
Dado que un usuario autenticado no interactúa con la aplicación durante el período de inactividad configurado,
Cuando el token JWT expira sin haberse renovado,
Entonces el sistema detecta la expiración en la siguiente acción del usuario, cierra la sesión automáticamente, muestra un mensaje informando que la sesión terminó por inactividad y redirige al login sin pérdida de datos ya sincronizados.",Must Have,1,1,Completado,EP01,,,,
,US09,Registro de Comidas desde el Catálogo,"Como paciente, quiero buscar alimentos del catálogo peruano de la aplicación y registrar lo que comí indicando la cantidad y la unidad de medida, para llevar un diario preciso de mi ingesta diaria y proporcionar al sistema los datos que necesita para identificar mis desencadenantes alimentarios.","CA01 — Registro exitoso de comida con porción definida
Dado que un paciente accede al módulo de registro de comidas,
Cuando busca un alimento en el catálogo, lo selecciona, especifica la cantidad, la unidad de medida (gramos, tazas, unidades u otra unidad disponible) y el momento del día (desayuno, almuerzo, cena o snack), y confirma el registro,
Entonces el sistema almacena el registro con el identificador del alimento, la cantidad, la unidad, el timestamp de registro y el identificador del momento del día, y lo marca como pendiente de sincronización (sync_pending) si el dispositivo está offline en ese momento.

CA02 — Registro offline con sincronización diferida
Dado que un paciente registra una comida sin conexión a internet,
Cuando el sistema detecta ausencia de conectividad en el momento del guardado,
Entonces el registro se almacena localmente en SQLite con un client_guid único y estado sync_pending, el sistema confirma visualmente al usuario que el dato fue guardado localmente, y cuando se recupera la conexión el worker de sincronización envía el registro al servidor de forma automática sin intervención del usuario.

CA03 — Búsqueda con sugerencias contextuales por tres dimensiones
Dado que un paciente abre el modal de búsqueda de alimentos, cuando aún no ha empezado a escribir, entonces el sistema muestra tres secciones de sugerencias diferenciadas: alimentos más frecuentes del propio paciente en los últimos 30 días, alimentos registrados recientemente (últimas 24 horas) y alimentos peruanos sugeridos del catálogo oficial, y al empezar a escribir las sugerencias se reemplazan por los resultados del autocomplete sobre el catálogo completo.",Must Have,5,2,Completado,EP02,,,,
,US10,Creación de Alimentos Personalizados,"Como paciente, quiero crear un plato casero o compuesto que no existe en el catálogo oficial seleccionando sus ingredientes base del mismo catálogo y asignándole un nombre descriptivo, para poder registrar mis comidas habituales con precisión sin perder la trazabilidad nutricional que el modelo necesita.","CA01 — Creación exitosa de alimento personalizado con ingredientes del catálogo
Dado que un paciente no encuentra un alimento en el catálogo y accede al flujo de creación personalizada,
Cuando ingresa un nombre descriptivo para el plato y selecciona al menos un ingrediente base del catálogo oficial asignando su proporción aproximada,
Entonces el sistema crea el alimento personalizado vinculado al perfil del paciente, calcula automáticamente el perfil nutricional estimado basado en los ingredientes seleccionados, lo marca como alimento de usuario no validado para diferenciarlo del catálogo oficial, y lo hace disponible para futuros registros del mismo paciente.

CA02 — Rechazo por nombre duplicado o sin ingredientes seleccionados
Dado que un paciente intenta crear un alimento personalizado,
Cuando ingresa un nombre que ya existe en sus alimentos personalizados o intenta guardar sin haber seleccionado ningún ingrediente base,
Entonces el sistema rechaza la operación, informa al usuario del motivo específico del error, y conserva el formulario con los datos ya ingresados para que pueda corregir sin rehacer el proceso completo.

CA03 — Advertencia por alérgeno detectado en ingredientes seleccionados

Dado que un paciente está creando un alimento personalizado, cuando selecciona un ingrediente que contiene un alérgeno previamente declarado por el paciente en su perfil clínico, entonces el sistema muestra una advertencia inline indicando el alérgeno detectado, no bloquea la creación del plato pero requiere confirmación explícita del paciente para incluir el ingrediente, y registra la decisión en el audit log.",Should Have,5,2,Completado,EP02,,,,
,US11,Registro de Síntomas e Intensidad,"Como paciente, quiero registrar los síntomas gastrointestinales que experimento indicando el tipo de síntoma y su intensidad en una escala validada del 1 al 100 alineada con la escala VAS del IBS-SSS, para generar el dato de respuesta que el modelo necesita para correlacionar mis comidas con mis reacciones clínicas.","CA01 — Registro exitoso de síntoma con catálogo clínicamente extendido
Dado que un paciente accede al módulo de registro de síntomas, cuando selecciona el tipo de síntoma de la lista predefinida ampliada de nueve opciones (dolor abdominal, distensión abdominal, flatulencia, diarrea, estreñimiento, náuseas, reflujo o acidez, urgencia para evacuar u otro síntoma no listado), asigna un valor de intensidad entre 1 y 100, y confirma el registro, entonces el sistema almacena el síntoma con su tipo, valor de intensidad y timestamp, lo asocia automáticamente al identificador de la comida más reciente registrada dentro de las cuatro horas previas si existe, y lo encola para sincronización si el dispositivo está offline.

CA02 — Registro de síntoma sin comida reciente asociada
Dado que un paciente registra un síntoma sin haber registrado ninguna comida en las últimas cuatro horas,
Cuando confirma el registro del síntoma,
Entonces el sistema guarda el síntoma sin asociación de comida, lo marca internamente con el flag sin_comida_asociada para que el modelo lo trate como dato de contexto sin correlación directa, y no muestra ningún error al paciente dado que el síntoma sigue siendo clínicamente relevante.",Must Have,3,2,Completado,EP02,,,,
